product,name,description,availability,sku,price
baroque-strand,Baroque Strand,"Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SCPQ1316001,"AUD 49,800.00"
gold-keshi-rhapsody,Gold Keshi Rhapsody,"Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SUKQ0609005,"AUD 78,800.00"
keshi-rope-strand-of-the-harvest,Keshi Rope Strand of The Harvest,"Paspaley Rope Pearl Strand necklace featuring 110, 8-10mm Australian Keshi South Sea Baroque pearls, and 1 yellow diamond. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SRKQ0810001,"AUD 42,800.00"
pearl-accessories-black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,"Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.",In stock,SKU    C00N10W43,"AUD 4,290.00"
pearl-accessories-chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold,"Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.",In stock,SKU    C00C80Y2742,"AUD 2,460.00"
pearl-accessories-fine-key-end-nitrile-white-gold,Fine Key End Nitrile - White Gold,"Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50W30,AUD 390.00
pearl-accessories-fine-key-end-nitrile-yellow-gold,Fine Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50Y30,AUD 390.00
pearl-accessories-fine-mirror-trace-chain-rose-gold,Fine Mirror Trace Chain - Rose Gold,"Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.",In stock,SKU    DC00C00R16,AUD 740.00
pearl-accessories-fine-mirror-trace-chain-white-gold,Fine Mirror Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00W16,AUD 650.00
pearl-accessories-fine-mirror-trace-chain-yellow-gold,Fine Mirror Trace Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00Y16,AUD 650.00
pearl-accessories-key-end-nitrile-yellow-gold,Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 5mm. Pearl sold separately.",In stock,SKU    DC00C50Y50,AUD 430.00
pearl-accessories-long-trace-chain-white-gold,Long Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct). Length 80cm, width 1.5mm.",In stock,SKU    C12C01W1580,"AUD 1,290.00"
pearl-accessories-nitrile-bayonet-clasp-white-gold,Nitrile Bayonet Clasp - White Gold,"Paspaley nitrile cord featuring 18kt white gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,SKU    DC00C55W30,AUD 390.00
pearl-accessories-nitrile-bayonet-clasp-yellow-gold,Nitrile Bayonet Clasp - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,SKU    DC00C55Y30,AUD 390.00
pearl-accessories-omega-chain-white-gold,Omega Chain - White Gold,"Paspaley chain in 18kt white gold, width 1.5mm.",In stock,SKU    DC00C70W15,"AUD 1,210.00"
pearl-accessories-omega-chain-yellow-gold,Omega Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, width 1.5mm. Pendant sold separately.",In stock,SKU    DC00C70Y15,"AUD 1,160.00"
pearl-accessories-paspaley-mother-of-pearl-shell,Paspaley Mother-of-Pearl shell,Paspaley Australian South Sea Mother of Pearl Shell.,In stock,SKU    C00A01,AUD 100.00
pearl-accessories-pearl-cufflinks-white-gold,Pearl Cufflinks - White Gold,"Paspaley cufflinks featuring two, 11-12mm baroque keshi pearls set in 18kt white gold.",In stock,SKU    C00A01WKB12,"AUD 3,280.00"
pearl-bracelets-kimberley-bracelet-button-pearl,Kimberley Bracelet - Button Pearl,Paspaley bracelet featuring a 12-13mm button pearl and sandalwood.,In stock,SKU    CSRB01SPB12,"AUD 1,480.00"
pearl-bracelets-kimberley-bracelet-circle-pearl,Kimberley Bracelet - Circlé Pearl,"Paspaley bracelet featuring a 12-13mm circle pearl, with sandalwood.",In stock,SKU    CSRB01SPC13,AUD 980.00
pearl-bracelets-kimberley-bracelet-petite-circle-pearl,Kimberley Bracelet - Petite Circlé Pearl,"Paspaley bracelet featuring a 10-11mm circle pearl, with sandalwood.",In stock,SKU    CSRB01SPC11,AUD 680.00
pearl-bracelets-kimberley-bracelet-petite-triangle-pearl,Kimberley Bracelet - Petite Triangle pearl,"Paspaley bracelet featuring a 10-11mm triangle pearl, with sandalwood.",In stock,SKU    CSRB01SPT11,"AUD 1,280.00"
pearl-bracelets-kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circlé Pearl,"Paspaley bracelet featuring two, 12mm circle pearls, with onyx and sandalwood beads.",In stock,SKU    CSRB02XPC12,"AUD 1,680.00"
pearl-bracelets-kimberley-onyx-bracelet-round-pearl,Kimberley Onyx Bracelet - Round Pearl,"Paspaley bracelet featuring two, 12mm round pearls, with onyx and sandalwood beads.",In stock,SKU    CSRB02XPR12,"AUD 5,980.00"
pearl-bracelets-maxima-bracelet-yellow-gold,Maxima Bracelet - Yellow Gold,Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold with 18 white diamonds (0.30ct).,In stock,SKU    W15B02Y,"AUD 5,480.00"
pearl-bracelets-maxima-chain-bracelet-yellow-gold,Maxima Chain Bracelet - Yellow Gold,"Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold, with two white diamonds (0.04ct).",In stock,SKU    W15B01Y,"AUD 2,680.00"
pearl-bracelets-maxima-diamond-bracelet-white-gold,Maxima Diamond Bracelet - White Gold,Paspaley bracelet featuring mother-of-pearl set in 18kt white gold with 314 white diamonds (2.10ct).,In stock,SKU    W15B04W,"AUD 16,800.00"
pearl-bracelets-maxima-diamond-bracelet-yellow-gold,Maxima Diamond Bracelet - Yellow Gold,"Paspaley mother-of-pearl bracelet set in 18kt yellow gold, with 387 white diamonds (1.90ct).",In stock,SKU    W17B03Y,"AUD 14,800.00"
pearl-bracelets-monsoon-wildflower-cuff-yellow-gold,Monsoon Wildflower Cuff - Yellow Gold,"Paspaley Monsoon Unique Bracelet in 750 Yellow Gold with 71, 5-12mm Keshi Baroque Australian South Sea Pearls, 95 White Diamonds (3.25ct) and 456 Yellow Diamonds (8.01ct)",Out of stock,SKU    Y18B07YKQ12,"AUD 218,000.00"
pearl-bracelets-odyssey-pod-bracelet-yellow-gold,Odyssey Pod Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 11mm oval/drop pearls set in 18kt yellow gold, with 72 white diamonds (0.17ct).",In stock,SKU    S12B04YPO11,"AUD 7,280.00"
pearl-bracelets-paradis-bracelet-white-gold,Paradis Bracelet - White Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt white gold, with 33 white diamonds (0.34ct).",Out of stock,SKU    J07B01WPR10,"AUD 7,480.00"
pearl-bracelets-paradis-bracelet-yellow-gold,Paradis Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt yellow gold, with 33 white diamonds (0.34ct).",In stock,SKU    J07B01YPR10,"AUD 7,480.00"
pearl-bracelets-rockpool-tanzanite-bracelet-platinum,Rockpool Tanzanite Bracelet - Platinum,"Paspaley Australian South Sea pearl  bracelet in platinum with 28, 4- 8mm Keshi Baroque pearls, four tanzanites (15.46ct), 602 white diamonds (6.83ct) and 50 amethysts (1.20ct).",Out of stock,SKU    X17B12PKQ08,"AUD 128,000.00"
pearl-bracelets-touchstone-black-diamond-bracelet-white-gold,Touchstone Black Diamond Bracelet - White Gold,"Paspaley bracelet featuring five, 11mm oval pearls set in 18kt white gold, with 100 black diamonds (0.80ct) and 12 white diamonds (0.03ct).",In stock,SKU    V16B02WPO11,"AUD 9,680.00"
pearl-bracelets-touchstone-ruby-bracelet-yellow-gold,Touchstone Ruby Bracelet - Yellow Gold,"Paspaley bracelet featuring five, 12mm button pearls set in 18kt yellow gold, with 100 rubies (1.00ct) and 12 white diamonds (0.02ct).",In stock,SKU    V14B02YPB12,"AUD 7,280.00"
pearl-clasps-maxima-clasp-white-gold,Maxima Clasp - White Gold,"Paspaley clasp featuring mother-of-pearl set in 18kt white gold, with 102 white diamonds (0.75ct).",In stock,SKU    W15L02W,"AUD 6,980.00"
pearl-clasps-maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 24 white diamonds (0.36ct).,In stock,SKU    W15L01Y,"AUD 4,680.00"
pearl-clasps-monsoon-budding-flower-clasp-white-gold,Monsoon Budding Flower Clasp - White Gold,Paspaley Monsoon clasp set in 18kt white gold with 66 white diamonds (0.44ct) and 162 tsavorites (2.61ct).,In stock,SKU    Y18L06W,"AUD 14,800.00"
pearl-clasps-monsoon-budding-flower-clasp-yellow-gold,Monsoon Budding Flower Clasp - Yellow Gold,Paspaley Monsoon clasp set in 18kt yellow gold with 66 white diamonds and 164 yellow diamonds (2.95ct).,Out of stock,SKU    Y18L07Y,"AUD 32,800.00"
pearl-clasps-rockpool-mother-of-pearl-clasp-white-gold,Rockpool Mother-of-Pearl Clasp - White Gold,Paspaley clasp featuring mother-of-pearl set in 18kt white gold with 218 white diamonds (1.34ct). Bracelet sold separately.,In stock,SKU    X17L11W,"AUD 11,800.00"
pearl-clasps-rockpool-mother-of-pearl-clasp-yellow-gold,Rockpool Mother-of-Pearl Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 218 white diamonds (1.34ct). Bracelet sold separately.,In stock,SKU    X17L11Y,"AUD 11,800.00"
pearl-clasps-rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt white gold.,In stock,SKU    X17L10W,"AUD 22,800.00"
pearl-clasps-rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt yellow gold.,In stock,SKU    X17L10Y,"AUD 22,800.00"
pearl-clasps-touchstone-black-diamond-clasp-white-gold,Touchstone Black Diamond Clasp - White Gold,"Paspaley clasp featuring 120 black diamonds (2.40ct) set in 18kt white gold, with 14 white diamonds (0.04ct).",In stock,SKU    V16L04W,"AUD 8,680.00"
pearl-earrings-button-pearl-studs-11mm,Button Pearl Studs - 11mm,"Paspaley stud earrings featuring two, 11mm button pearls set in 18kt yellow gold.",In stock,SKU    C00E41YPB11,"AUD 2,580.00"
pearl-earrings-dew-drop-earrings-platinum,Dew Drop Earrings - Platinum,"Paspaley earrings featuring two, 11mm round pearls set in 950 platinum, with four white diamonds (0.40ct).",In stock,SKU    K08E08PPR11,"AUD 6,980.00"
pearl-earrings-dew-drop-earrings-yellow-gold,Dew Drop Earrings - Yellow Gold,"Paspaley earrings feturing two, 11mm round pearls set in 18kt yellow gold with four white diamonds (0.40ct).",In stock,SKU    K08E08YPR11,"AUD 6,880.00"
pearl-earrings-diamond-shepherd-hook-earrings-13mm-round-yellow-gold,Diamond Shepherd Hook Earrings 13mm Round - Yellow Gold,"Paspaley Shepherd Hook earrings featuring two 13mm round pearls set in18kt yellow gold, with 40 white diamonds (0.21ct).",In stock,SKU    C18E43YPR13,"AUD 9,180.00"
pearl-earrings-diamond-shepherd-hook-earrings-round-white-gold,Diamond Shepherd Hook Earrings Round - White Gold,"Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in18kt white gold, with 40 white diamonds (0.21ct).",In stock,SKU    C18E43WPR10,"AUD 5,480.00"
pearl-earrings-diamond-shepherd-hook-earrings-round-yellow-gold,Diamond Shepherd Hook Earrings Round - Yellow Gold,"Paspaley Shepherd Hook earrings featuring two 10mm round pearls set in 18kt yellow gold, with 40 white diamonds (0.21ct).",In stock,SKU    C18E43YPR10,"AUD 5,480.00"
pearl-earrings-diamond-touchstone-earrings-12mm-oval-yellow-gold,Diamond Touchstone Earrings 12mm Oval  - Yellow Gold,"Paspaley earrings featuring two, 12mm oval pearls set in 18kt yellow gold, with 70 white diamonds (0.83ct)",In stock,SKU    DC16E10YPO12,"AUD 8,960.00"
pearl-earrings-diamond-touchstone-earrings-14mm-baroque-white-gold,Diamond Touchstone Earrings 14mm Baroque  - White Gold,"Paspaley earrings featuring two, 14mm baroque pearls set in 18kt white gold with, 60 white diamonds (0.93ct)",In stock,SKU    DC16E10WPQ14,"AUD 9,960.00"
pearl-earrings-dolce-earrings-white-gold,Dolce Earrings - White Gold,"Paspaley earrings featuring two, 13mm round pearls set in 18kt white gold.",In stock,SKU    G06E09WPR13,"AUD 6,280.00"
pearl-earrings-grace-earrings-white-gold,Grace Earrings - White Gold,"Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt white gold, with two white diamonds (0.20ct).",In stock,SKU    C00E44WPR11,"AUD 5,980.00"
pearl-earrings-grace-earrings-yellow-gold,Grace Earrings - Yellow Gold,"Paspaley shepherd hook earrings featuring two, 11mm round pearls set in 18kt yellow gold, with two white diamonds (0.20ct).",In stock,SKU    C00E44YPR11,"AUD 5,980.00"
pearl-earrings-keshi-pearl-studs-7mm,Keshi Pearl Studs - 7mm,"Paspaley stud earrings featuring two, 7mm baroque keshi pearls set in 18kt yellow gold.",In stock,SKU    C00E40YKQ07,AUD 980.00
pearl-earrings-keshi-pearl-studs-9mm,Keshi Pearl Studs - 9mm,"Paspaley stud earrings featuring two, 9mm baroque keshi pearls set in 18kt yellow gold.",In stock,SKU    C00E40YKQ09,"AUD 1,680.00"
pearl-earrings-lavalier-earrings-circle-white-gold,Lavalier Earrings Circlé - White Gold,Paspaley earrings featuring two loose 12mm circlé pearls in 18ct white gold.,In stock,SKU    DH14E20WC,"AUD 5,260.00"
pearl-earrings-lavalier-earrings-circle-yellow-gold,Lavalier Earrings Circlé - Yellow Gold,Paspaley earrings featuring two loose 12mm circlé pearls in 18ct yellow gold.,In stock,SKU    DH14E20YC,"AUD 5,260.00"
pearl-earrings-lavalier-opal-hero-earrings-rose-gold,Lavalier Opal Hero Earrings - Rose Gold,"Paspaley Lavalier earrings featuring two round pearls and combining beautiful rose gold, opals and white diamonds, complete with a rare Papsaley keshi pearl.",In stock,SKU    DH15E30RPR,"AUD 14,760.00"
pearl-earrings-maxima-black-studs-white-gold,Maxima Black Studs - White Gold,"Paspaley studs featuring black mother-of-pearl set in 18kt white gold, with 68 white diamonds (0.15ct).",Out of stock,SKU    W17E01W,"AUD 2,680.00"
pearl-earrings-maxima-irukandji-earrings-white-gold,Maxima Irukandji Earrings - White Gold,Paspaley earrings featuring mother-of-pearl set in 18kt white gold with 16 white diamonds (0.07ct).,In stock,SKU    W15E04W,"AUD 2,280.00"
pearl-earrings-maxima-pearl-earrings-white-gold,Maxima Pearl Earrings - White Gold,"Paspaley earrings featuring two, 12mm round pearls set in 18kt white gold, with mother-of-pearl and 66 white diamonds (0.40ct).",In stock,SKU    W15E05WPR12,"AUD 9,980.00"
pearl-earrings-maxima-pearls-my-way-earrings-yellow-gold,Maxima Pearls My Way Earrings - Yellow Gold,"Paspaley earrings featuring two 13mm round pearls set in 18kt yellow gold, with mother-of-pearl and 88 white diamonds (0.35ct).",In stock,SKU    DW17E03YPR13,"AUD 10,660.00"
pearl-earrings-maxima-pearls-my-way-rose-gold,Maxima Pearls My Way – Rose Gold,"Paspaley earrings featuring two, 13mm round pearls, with two Australian opals and 14 white diamonds (0.10ct), set in 18kt rose gold.",In stock,SKU    DW18E05RPR13,"AUD 12,660.00"
pearl-earrings-maxima-stud-earrings-yellow-gold,Maxima Stud Earrings - Yellow Gold,Paspaley earrings featuring mother-of-pearl set in 18kt yellow gold.,In stock,SKU    W15E01Y,AUD 980.00
pearl-earrings-maxima-studs-rose-gold,Maxima Studs – Rose Gold,"Paspaley earrings with two Australian opals (1.30ct) and 14 white diamonds (0.07ct), set in 18kt rose gold.",In stock,SKU    W18E06R,"AUD 3,980.00"
pearl-earrings-monsoon-budding-flower-earrings-white-gold,Monsoon Budding Flower Earrings - White Gold,"Paspaley Monsoon earrings featuring 2, 10mm oval drop Australian South Sea pearls set in 18kt white gold, with 64 white diamonds (0.44ct) and 396 tsavorites (4.92ct).",Out of stock,SKU    Y18E06WPD10,"AUD 26,800.00"
pearl-earrings-monsoon-budding-flower-earrings-yellow-gold,Monsoon Budding Flower Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 2, 10mm oval drop Australian South Sea pearls set in 18kt yellow gold, with 393 yellow diamonds and 64 white diamonds (5.36ct).",Out of stock,SKU    Y18E07YPD10,"AUD 48,800.00"
pearl-earrings-monsoon-chandelier-earrings-white-gold,Monsoon Chandelier Earrings - White Gold,"Paspaley Monsoon Earrings in 750 White Gold with 4, 10mm Round, 2, 10mm Oval Australian South Sea Pearls and 308 White Diamonds (3.03ct)",Out of stock,SKU    Y18E02WPR10,"AUD 32,800.00"
pearl-earrings-monsoon-chandelier-earrings-yellow-gold,Monsoon Chandelier Earrings - Yellow Gold,"Paspaley Monsoon Earrings in 750 Yellow Gold with 4, 10mm Round, 2, 10mm Oval Australian South Sea Pearls and 308 White Diamonds (3.03ct).",Out of stock,SKU    Y18E02YPR10,"AUD 32,800.00"
pearl-earrings-monsoon-cicada-earrings-white-gold,Monsoon Cicada Earrings - White Gold,"Paspaley Monsoon earrings featuring 2, 13mm oval drop Australian South Sea pearls set in 18kt white gold, with 4 emeralds and 574 white diamonds (3.25ct).",Out of stock,SKU    Y18E30WPD13,"AUD 32,800.00"
pearl-earrings-monsoon-cicada-earrings-yellow-gold,Monsoon Cicada Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 2, 13mm oval drop Australian South Sea pearls set in 18kt yellow gold, with 4 emeralds and 574 white diamonds (3.25ct).",Out of stock,SKU    Y18E30YPD13,"AUD 32,800.00"
pearl-earrings-monsoon-double-petal-earrings-white-gold,Monsoon Double Petal Earrings - White Gold,"Paspaley Monsoon earrings featuring 4, 8-9mm keshi baroque Australian South Sea pearls set in 18kt white gold, with 247 white diamonds (1.71ct).",In stock,SKU    DY18E03WKQ09,"AUD 22,780.00"
pearl-earrings-monsoon-double-petal-earrings-yellow-gold,Monsoon Double Petal Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 4, 8-9mm keshi baroque Australian South Sea pearls set in 18kt yellow gold, with 247 white diamonds (1.71ct).",Out of stock,SKU    DY18E03YKQ09,"AUD 22,780.00"
pearl-earrings-monsoon-earring-enhancer-l-r-white-gold,Monsoon Earring Enhancer L+R - White Gold,none,Out of stock,SKU    DY18AE01WLR,"AUD 3,360.00"
pearl-earrings-monsoon-earring-enhancer-l-r-yellow-gold,Monsoon Earring Enhancer L+R - Yellow Gold,none,In stock,SKU    DY18AE01YLR,"AUD 3,360.00"
pearl-earrings-monsoon-earring-enhancer-left-white-gold,Monsoon Earring Enhancer Left - White Gold,none,Out of stock,SKU    Y18AE01WL,"AUD 1,680.00"
pearl-earrings-monsoon-earring-enhancer-left-yellow-gold,Monsoon Earring Enhancer Left - Yellow Gold,none,Out of stock,SKU    Y18AE01YL,"AUD 1,680.00"
pearl-earrings-monsoon-earring-enhancer-right-white-gold,Monsoon Earring Enhancer Right - White Gold,none,Out of stock,SKU    Y18AE01WR,"AUD 1,680.00"
pearl-earrings-monsoon-earring-enhancer-right-yellow-gold,Monsoon Earring Enhancer Right - Yellow Gold,none,In stock,SKU    Y18AE01YR,"AUD 1,680.00"
pearl-earrings-monsoon-earring-enhancer-white-gold,Monsoon Earring Enhancer - White Gold,Paspaley Monsoon Earring Accessory in 750 White Gold with 33 White Diamonds (0.33ct).,Out of stock,SKU    DY18AE01W,"AUD 1,680.00"
pearl-earrings-monsoon-earring-enhancer-yellow-gold,Monsoon Earring Enhancer - Yellow Gold,Paspaley Monsoon Earring Accessory in 750 Yellow Gold with 33 White Diamonds (0.33ct).,In stock,SKU    DY18AE01Y,"AUD 1,680.00"
pearl-earrings-monsoon-single-petal-earrings-white-gold,Monsoon Single Petal Earrings - White Gold,"Paspaley Monsoon earrings featuring 2, 9mm keshi baroque Australian South Sea pearls set in 18kt white gold, with 151 white diamonds (0.96ct).",In stock,SKU    DY18E04WKQ09,"AUD 14,960.00"
pearl-earrings-monsoon-single-petal-earrings-yellow-gold,Monsoon Single Petal Earrings - Yellow Gold,"Paspaley Monsoon earrings featuring 2, 9mm keshi baroque Australian South Sea pearls set in 18kt yellow gold, with 151 white diamonds (0.96ct).",Out of stock,SKU    DY18E04YKQ09,"AUD 14,960.00"
pearl-earrings-monsoon-tsavorite-chandelier-earrings,Monsoon Tsavorite Chandelier Earrings,"Paspaley Monsoon Earrings in 750 White Gold with 4, 10mm Round, 2, 10mm Oval Australian South Sea Pearls, 106 White Diamonds (0.92ct) and 200 Tsavorites (2.36ct)",Out of stock,SKU    Y18E05WPR10,"AUD 29,800.00"
pearl-earrings-pearls-my-way-10mm-circle-earrings-yellow-gold,Pearls My Way 10mm Circle Earrings - Yellow Gold,"Paspaley earrings featuring two 10mm circle pearls set in 18kt yellow gold, with six white diamonds (0.02ct).",In stock,SKU    DC16E02YPC10,"AUD 2,460.00"
pearl-earrings-pearls-my-way-10mm-oval-earrings-white-gold,Pearls My Way 10mm Oval Earrings - White Gold,"Paspaley earrings featuring two, 10mm oval pearls set in 18kt white gold with 12 white diamonds (0.04ct)",In stock,SKU    DC16E02WPO10,"AUD 4,160.00"
pearl-earrings-pearls-my-way-diamond-earrings-10mm-oval-yellow-gold,Pearls My Way Diamond Earrings 10mm Oval - Yellow Gold,"Paspaley earrings featuring two, 10mm oval pearls set in 18kt yellow gold with 30 white diamonds (0.23ct)",In stock,SKU    DC16E05YPO10,"AUD 5,760.00"
pearl-earrings-pearls-my-way-diamond-earrings-12mm-oval-white-gold,Pearls My Way Diamond Earrings 12mm Oval  - White Gold,"Paspaley earrings featuring two 12mm oval pearls set in 18kt white gold, with 30 white diamonds (0.23ct).",In stock,SKU    DC16E05WPO12,"AUD 6,260.00"
pearl-earrings-pearls-my-way-pave-earrings-13mm-round-white-gold,Pearls My Way Pave Earrings 13mm Round - White Gold,"Paspaley earrings featuring two, 13mm round pearls set in 18kt white gold with 72 white diamonds (0.65ct)",In stock,SKU    DC16E06WPR13,"AUD 11,960.00"
pearl-earrings-rockpool-clam-shell-earrings-white-gold,Rockpool Clam Shell Earrings - White Gold,"Paspaley earrings featuring two, 5mm keshi baroque pearls set in 18kt white gold, with 278 white diamonds (1.76ct) and mother-of-pearl.",In stock,SKU    DC16E06WX17AE11,"AUD 14,560.00"
