product,name,description,flowerydescription,availability,sku,price
baroque-strand,Baroque Strand,"Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.","This unique baroque strand is expertly matched in colour, size, shape and lustre by our skilled graders, featuring the world’s most refined stringing technique. Paspaley’s clasp mechanism enables you to instantly personalise your strand with one of our beautiful, interchangeable claps. 

All Paspaley strands are unique and price is indicative of the strand pictured. 
For more information on other available strands visit a boutique or contact the Personal Shopper

    	
		Paspaley 44.5cm choker length strand featuring 28, 13-16mm baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SCPQ1316001,"AUD 49,800.00"
gold-keshi-rhapsody,Gold Keshi Rhapsody,"Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.","Each Rhapsody strand is one-of-a-kind. These fluid strands feature a myriad of beautiful pearl shapes and sizes. Each can be playfully detached into bracelets and smaller necklaces.

    	
		Paspaley 240cm length Rhapsody strand featuring 275, 6-9mm multi coloured keshi baroque pearls. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SUKQ0609005,"AUD 78,800.00"
keshi-rope-strand-of-the-harvest,Keshi Rope Strand of The Harvest,"Paspaley Rope Pearl Strand necklace featuring 110, 8-10mm Australian Keshi South Sea Baroque pearls, and 1 yellow diamond. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.","This pearl strand has been expertly matched in colour, size, shape and lustre by our skilled graders and features the world’s most refined stringing technique. A unique interchangeable clasp mechanism enables you to instantly personalise your look. All Paspaley strands are unique and price is indicative of the strand pictured. For more information on other available strands visit a boutique or contact the Personal Shopper.

    	
		Paspaley Rope Pearl Strand necklace featuring 110, 8-10mm Australian Keshi South Sea Baroque pearls, and 1 yellow diamond. Identified by the Paspaley Strand Signature, a brilliant cut diamond set seamlessly in the end pearl.",Out of stock,SKU    SRKQ0810001,"AUD 42,800.00"
pearl-accessories-black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,"Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.","This necklace features 12 black spinel strands, woven together to create this unique black necklace. Wear with your favourite Paspaley pearl clasp.

    	
		Paspaley 12 strand necklace in 18kt white gold, with black spinels. Length 43cm. Pearl sold separately.",In stock,SKU    C00N10W43,"AUD 4,290.00"
pearl-accessories-chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold,"Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.","This necklace features woven strands of delicate yellow gold. Pair with your favourite Paspaley clasp to create your unique look.

    	
		Paspaley chain with 18kt yellow gold key ends. Length 42cm, width 2.7mm. Pearl sold separately.",In stock,SKU    C00C80Y2742,"AUD 2,460.00"
pearl-accessories-fine-key-end-nitrile-white-gold,Fine Key End Nitrile - White Gold,"Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.","This nitrile cord is perfectly finished with white gold key ends and can be worn with a single pearl or your favourite clasp.

    	
		Paspaley nitrile cord featuring 18kt white gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50W30,AUD 390.00
pearl-accessories-fine-key-end-nitrile-yellow-gold,Fine Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.","This nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl or your favourite clasp.

    	
		Paspaley nitrile cord featuring 18kt yellow gold key ends, width 3mm. Pearl sold separately.",In stock,SKU    DC00C50Y30,AUD 390.00
pearl-accessories-fine-mirror-trace-chain-rose-gold,Fine Mirror Trace Chain - Rose Gold,"Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.","This classic rose gold chain features a mirror-like finish and precious diamond clasp.

    	
		Paspaley chain in 18kt rose gold, with 6 white diamonds on clasp (0.03ct), chain width 1.6mm.",In stock,SKU    DC00C00R16,AUD 740.00
pearl-accessories-fine-mirror-trace-chain-white-gold,Fine Mirror Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.","This classic white gold chain features a mirror-like finish and elegant diamond clasp.

    	
		Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00W16,AUD 650.00
pearl-accessories-fine-mirror-trace-chain-yellow-gold,Fine Mirror Trace Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.","This classic yellow gold chain features a mirror-like finish and elegant diamond clasp.

    	
		Paspaley chain in 18kt yellow gold, with 6 white diamonds on clasp (0.03ct), width 1.6mm.",In stock,SKU    DC00C00Y16,AUD 650.00
pearl-accessories-key-end-nitrile-yellow-gold,Key End Nitrile - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold key ends, width 5mm. Pearl sold separately.","This nitrile cord is perfectly finished with yellow gold key ends and can be worn with a single pearl or your favourite clasp.

    	
		Paspaley nitrile cord featuring 18kt yellow gold key ends, width 5mm. Pearl sold separately.",In stock,SKU    DC00C50Y50,AUD 430.00
pearl-accessories-long-trace-chain-white-gold,Long Trace Chain - White Gold,"Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct). Length 80cm, width 1.5mm.","This beautiful white gold chain features a diamond clasp. The ideal length for a contemporary look.

    	
		Paspaley chain in 18kt white gold, with 6 white diamonds on clasp (0.03ct). Length 80cm, width 1.5mm.",In stock,SKU    C12C01W1580,"AUD 1,290.00"
pearl-accessories-nitrile-bayonet-clasp-white-gold,Nitrile Bayonet Clasp - White Gold,"Paspaley nitrile cord featuring 18kt white gold bayonet clasp, width 3mm. Pendant sold separately.","This nitrile cord is perfectly finished with white gold bayonet clasp, which can be worn with your favourite pearl pendant.

    	
		Paspaley nitrile cord featuring 18kt white gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,SKU    DC00C55W30,AUD 390.00
pearl-accessories-nitrile-bayonet-clasp-yellow-gold,Nitrile Bayonet Clasp - Yellow Gold,"Paspaley nitrile cord featuring 18kt yellow gold bayonet clasp, width 3mm. Pendant sold separately.","This nitrile cord is perfectly finished with a yellow gold bayonet clasp, which can be worn with your favourite pearl.

    	
		Paspaley nitrile cord featuring 18kt yellow gold bayonet clasp, width 3mm. Pendant sold separately.",In stock,SKU    DC00C55Y30,AUD 390.00
pearl-accessories-omega-chain-white-gold,Omega Chain - White Gold,"Paspaley chain in 18kt white gold, width 1.5mm.","Effortlessly versatile, this ridged white gold omega chain can be worn alone or with your favourite pearl pendant.

    	
		Paspaley chain in 18kt white gold, width 1.5mm.",In stock,SKU    DC00C70W15,"AUD 1,210.00"
pearl-accessories-omega-chain-yellow-gold,Omega Chain - Yellow Gold,"Paspaley chain in 18kt yellow gold, width 1.5mm. Pendant sold separately.","Effortlessly versatile, this ridged yellow gold omega chain can be worn alone or with your favourite pearl pendant for a modern touch..

    	
		Paspaley chain in 18kt yellow gold, width 1.5mm. Pendant sold separately.",In stock,SKU    DC00C70Y15,"AUD 1,160.00"
pearl-accessories-paspaley-mother-of-pearl-shell,Paspaley Mother-of-Pearl shell,Paspaley Australian South Sea Mother of Pearl Shell.,"A touch of luxury. This is the rare Pinctada maxima shell which creates our beautiful pearls. The perfect gift for you or someone special.

    	
		Paspaley Australian South Sea Mother of Pearl Shell.",In stock,SKU    C00A01,AUD 100.00
pearl-accessories-pearl-cufflinks-white-gold,Pearl Cufflinks - White Gold,"Paspaley cufflinks featuring two, 11-12mm baroque keshi pearls set in 18kt white gold.","Add a unique touch to your look with a pair of beautiful Paspaley cufflinks. Also available in yellow gold.

    	
		Paspaley cufflinks featuring two, 11-12mm baroque keshi pearls set in 18kt white gold.",In stock,SKU    C00A01WKB12,"AUD 3,280.00"
pearl-bracelets-kimberley-bracelet-button-pearl,Kimberley Bracelet - Button Pearl,Paspaley bracelet featuring a 12-13mm button pearl and sandalwood.,"Jewellery with purpose.
The Kimberley bracelet is crafted in earthy sandalwood from the Kimberley and features one hand-selected Paspaley pearl. 25% of the proceeds from each bracelet is donated to the Garvan Institute of Medical Research. To nominate which type of research your donation goes to, please contact our Personal Shopper.

    	
		Paspaley bracelet featuring a 12-13mm button pearl and sandalwood.",In stock,SKU    CSRB01SPB12,"AUD 1,480.00"
pearl-bracelets-kimberley-bracelet-circle-pearl,Kimberley Bracelet - Circlé Pearl,"Paspaley bracelet featuring a 12-13mm circle pearl, with sandalwood.","Jewellery with purpose.
The Kimberley bracelet is crafted in earthy sandalwood from the Kimberley and features one hand-selected Paspaley pearl. 25% of the proceeds from each bracelet is donated to the Garvan Institute of Medical Research. To nominate which type of research your donation goes to, please contact our Personal Shopper.

    	
		Paspaley bracelet featuring a 12-13mm circle pearl, with sandalwood.",In stock,SKU    CSRB01SPC13,AUD 980.00
pearl-bracelets-kimberley-bracelet-petite-circle-pearl,Kimberley Bracelet - Petite Circlé Pearl,"Paspaley bracelet featuring a 10-11mm circle pearl, with sandalwood.","Jewellery with purpose.
The Kimberley bracelet is crafted in earthy sandalwood from the Kimberley and features one hand-selected Paspaley pearl. 25% of the proceeds from each bracelet is donated to the Garvan Institute of Medical Research. To nominate which type of research your donation goes to, please contact our Personal Shopper.

    	
		Paspaley bracelet featuring a 10-11mm circle pearl, with sandalwood.",In stock,SKU    CSRB01SPC11,AUD 680.00
pearl-bracelets-kimberley-bracelet-petite-triangle-pearl,Kimberley Bracelet - Petite Triangle pearl,"Paspaley bracelet featuring a 10-11mm triangle pearl, with sandalwood.","Jewellery with purpose.
The Kimberley bracelet is crafted in earthy sandalwood from the Kimberley and features one hand-selected Paspaley pearl. 25% of the proceeds from each bracelet is donated to the Garvan Institute of Medical Research. To nominate which type of research your donation goes to, please contact our Personal Shopper.

    	
		Paspaley bracelet featuring a 10-11mm triangle pearl, with sandalwood.",In stock,SKU    CSRB01SPT11,"AUD 1,280.00"
pearl-bracelets-kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circlé Pearl,"Paspaley bracelet featuring two, 12mm circle pearls, with onyx and sandalwood beads.","Jewellery with purpose.
The Kimberley bracelet is crafted in earthy sandalwood from the Kimberley and features one hand-selected Paspaley pearl. 25% of the proceeds from each bracelet is donated to the Garvan Institute of Medical Research. To nominate which type of research your donation goes to, please contact our Personal Shopper.

    	
		Paspaley bracelet featuring two, 12mm circle pearls, with onyx and sandalwood beads.",In stock,SKU    CSRB02XPC12,"AUD 1,680.00"
pearl-bracelets-kimberley-onyx-bracelet-round-pearl,Kimberley Onyx Bracelet - Round Pearl,"Paspaley bracelet featuring two, 12mm round pearls, with onyx and sandalwood beads.","Jewellery with purpose.
The Kimberley bracelet is crafted in earthy sandalwood from the Kimberley and features one hand-selected Paspaley pearl. 25% of the proceeds from each bracelet is donated to the Garvan Institute of Medical Research. To nominate which type of research your donation goes to, please contact our Personal Shopper.

    	
		Paspaley bracelet featuring two, 12mm round pearls, with onyx and sandalwood beads.",In stock,SKU    CSRB02XPR12,"AUD 5,980.00"
pearl-bracelets-maxima-bracelet-yellow-gold,Maxima Bracelet - Yellow Gold,Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold with 18 white diamonds (0.30ct).,"This contemporary design features iridescent Paspaley mother-of-pearl and white diamonds, reflecting the movement of the ocean.

    	
		Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold with 18 white diamonds (0.30ct).",In stock,SKU    W15B02Y,"AUD 5,480.00"
pearl-bracelets-maxima-chain-bracelet-yellow-gold,Maxima Chain Bracelet - Yellow Gold,"Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold, with two white diamonds (0.04ct).","The perfect layering piece, this bracelet features iridescent mother-of-pearl and a delicate chain detail that pairs beautifully with your favourite Australian South Sea pearl strand bracelet.

    	
		Paspaley bracelet featuring mother-of-pearl set in 18kt yellow gold, with two white diamonds (0.04ct).",In stock,SKU    W15B01Y,"AUD 2,680.00"
pearl-bracelets-maxima-diamond-bracelet-white-gold,Maxima Diamond Bracelet - White Gold,Paspaley bracelet featuring mother-of-pearl set in 18kt white gold with 314 white diamonds (2.10ct).,"This contemporary design features iridescent Paspaley mother-of-pearl and white diamonds, reflecting the movement of the ocean.

    	
		Paspaley bracelet featuring mother-of-pearl set in 18kt white gold with 314 white diamonds (2.10ct).",In stock,SKU    W15B04W,"AUD 16,800.00"
pearl-bracelets-maxima-diamond-bracelet-yellow-gold,Maxima Diamond Bracelet - Yellow Gold,"Paspaley mother-of-pearl bracelet set in 18kt yellow gold, with 387 white diamonds (1.90ct).","Effortlessly elegant, this contemporary design is inspired by the water and is perfect for special occasions. Make each day extra special with the combination of diamonds and mother-of-pearl.

    	
		Paspaley mother-of-pearl bracelet set in 18kt yellow gold, with 387 white diamonds (1.90ct).",In stock,SKU    W17B03Y,"AUD 14,800.00"
pearl-bracelets-monsoon-wildflower-cuff-yellow-gold,Monsoon Wildflower Cuff - Yellow Gold,"Paspaley Monsoon Unique Bracelet in 750 Yellow Gold with 71, 5-12mm Keshi Baroque Australian South Sea Pearls, 95 White Diamonds (3.25ct) and 456 Yellow Diamonds (8.01ct)","Evoking the floral changes as the wet season sets in, this one-of-a-kind cuff features Paspaley keshi pearls and exceptionally rare yellow diamonds that gradually increase in tone and vibrancy.

    	
		Paspaley Monsoon Unique Bracelet in 750 Yellow Gold with 71, 5-12mm Keshi Baroque Australian South Sea Pearls, 95 White Diamonds (3.25ct) and 456 Yellow Diamonds (8.01ct)",Out of stock,SKU    Y18B07YKQ12,"AUD 218,000.00"
pearl-bracelets-odyssey-pod-bracelet-yellow-gold,Odyssey Pod Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 11mm oval/drop pearls set in 18kt yellow gold, with 72 white diamonds (0.17ct).","Not just visually beautiful but beautifully wearable. Natural movement of the wrist twists to show hints of hidden diamonds around the luscious oval pearls.

    	
		Paspaley bracelet featuring three, 11mm oval/drop pearls set in 18kt yellow gold, with 72 white diamonds (0.17ct).",In stock,SKU    S12B04YPO11,"AUD 7,280.00"
pearl-bracelets-paradis-bracelet-white-gold,Paradis Bracelet - White Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt white gold, with 33 white diamonds (0.34ct).","Featuring three luminous Paspaley pearls, this beautiful bracleet is the perfect day to evening design.

    	
		Paspaley bracelet featuring three, 10mm round pearls set in 18kt white gold, with 33 white diamonds (0.34ct).",Out of stock,SKU    J07B01WPR10,"AUD 7,480.00"
pearl-bracelets-paradis-bracelet-yellow-gold,Paradis Bracelet - Yellow Gold,"Paspaley bracelet featuring three, 10mm round pearls set in 18kt yellow gold, with 33 white diamonds (0.34ct).","Featuring three luminous Paspaley pearls, this beautiful bracelet is the perfect day to evening design.

    	
		Paspaley bracelet featuring three, 10mm round pearls set in 18kt yellow gold, with 33 white diamonds (0.34ct).",In stock,SKU    J07B01YPR10,"AUD 7,480.00"
pearl-bracelets-rockpool-tanzanite-bracelet-platinum,Rockpool Tanzanite Bracelet - Platinum,"Paspaley Australian South Sea pearl  bracelet in platinum with 28, 4- 8mm Keshi Baroque pearls, four tanzanites (15.46ct), 602 white diamonds (6.83ct) and 50 amethysts (1.20ct).","This one-of-a-kind design combines exceptionally rare cultured pearls from Paspaley's collection with deep blue tanzanite and sparkling diamonds.

    	
		Paspaley Australian South Sea pearl  bracelet in platinum with 28, 4- 8mm Keshi Baroque pearls, four tanzanites (15.46ct), 602 white diamonds (6.83ct) and 50 amethysts (1.20ct).",Out of stock,SKU    X17B12PKQ08,"AUD 128,000.00"
pearl-bracelets-touchstone-black-diamond-bracelet-white-gold,Touchstone Black Diamond Bracelet - White Gold,"Paspaley bracelet featuring five, 11mm oval pearls set in 18kt white gold, with 100 black diamonds (0.80ct) and 12 white diamonds (0.03ct).","The perfect gift for yourself or someone special, the Touchstone black diamond bracelet features a stunning contrast between smooth Paspaley pearls and inverted black diamonds.

    	
		Paspaley bracelet featuring five, 11mm oval pearls set in 18kt white gold, with 100 black diamonds (0.80ct) and 12 white diamonds (0.03ct).",In stock,SKU    V16B02WPO11,"AUD 9,680.00"
pearl-bracelets-touchstone-ruby-bracelet-yellow-gold,Touchstone Ruby Bracelet - Yellow Gold,"Paspaley bracelet featuring five, 12mm button pearls set in 18kt yellow gold, with 100 rubies (1.00ct) and 12 white diamonds (0.02ct).","This bracelet features luminous Paspaley pearls surrounded by sparkling rubies. This contemporary design will take you effortlessly from day to night.

    	
		Paspaley bracelet featuring five, 12mm button pearls set in 18kt yellow gold, with 100 rubies (1.00ct) and 12 white diamonds (0.02ct).",In stock,SKU    V14B02YPB12,"AUD 7,280.00"
pearl-clasps-maxima-clasp-white-gold,Maxima Clasp - White Gold,"Paspaley clasp featuring mother-of-pearl set in 18kt white gold, with 102 white diamonds (0.75ct).","The Maxima clasp is the perfect accompaniment to your Paspaley pearl strand, combining iridescent mother-of-pearl and white diamonds.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt white gold, with 102 white diamonds (0.75ct).",In stock,SKU    W15L02W,"AUD 6,980.00"
pearl-clasps-maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 24 white diamonds (0.36ct).,"The Maxima clasp is the perfect accompaniment to your Paspaley pearl strand, combining iridescent mother-of-pearl and white diamonds.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 24 white diamonds (0.36ct).",In stock,SKU    W15L01Y,"AUD 4,680.00"
pearl-clasps-monsoon-budding-flower-clasp-white-gold,Monsoon Budding Flower Clasp - White Gold,Paspaley Monsoon clasp set in 18kt white gold with 66 white diamonds (0.44ct) and 162 tsavorites (2.61ct).,"Celebrating the energy of The Kimberley’s tropical environment, this clasp incorporates rich green tsavorite gems. Each one features intricately crafted three-dimensional flower buds, to create a new look for your strand.

    	
		Paspaley Monsoon clasp set in 18kt white gold with 66 white diamonds (0.44ct) and 162 tsavorites (2.61ct).",In stock,SKU    Y18L06W,"AUD 14,800.00"
pearl-clasps-monsoon-budding-flower-clasp-yellow-gold,Monsoon Budding Flower Clasp - Yellow Gold,Paspaley Monsoon clasp set in 18kt yellow gold with 66 white diamonds and 164 yellow diamonds (2.95ct).,"Taking inspiration from the wildflowers of northern Australia's wetlands, this clasp showcases the gradual progression of bloom. Each one features intricately crafted three-dimensional flower buds, to create a new look for your strand.

    	
		Paspaley Monsoon clasp set in 18kt yellow gold with 66 white diamonds and 164 yellow diamonds (2.95ct).",Out of stock,SKU    Y18L07Y,"AUD 32,800.00"
pearl-clasps-rockpool-mother-of-pearl-clasp-white-gold,Rockpool Mother-of-Pearl Clasp - White Gold,Paspaley clasp featuring mother-of-pearl set in 18kt white gold with 218 white diamonds (1.34ct). Bracelet sold separately.,"This striking clasp features iridescent mother-of-pearl and pave diamonds. The perfect addition to your Paspaley pearl bracelet or strand.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt white gold with 218 white diamonds (1.34ct). Bracelet sold separately.",In stock,SKU    X17L11W,"AUD 11,800.00"
pearl-clasps-rockpool-mother-of-pearl-clasp-yellow-gold,Rockpool Mother-of-Pearl Clasp - Yellow Gold,Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 218 white diamonds (1.34ct). Bracelet sold separately.,"This striking clasp features iridescent mother-of-pearl and pave diamonds. The perfect addition to your Paspaley pearl bracelet or strand.

    	
		Paspaley clasp featuring mother-of-pearl set in 18kt yellow gold with 218 white diamonds (1.34ct). Bracelet sold separately.",In stock,SKU    X17L11Y,"AUD 11,800.00"
pearl-clasps-rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt white gold.,"Featuring pave set diamonds, create a unique look for your strand with this clasp. Strand sold separately.

    	
		Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt white gold.",In stock,SKU    X17L10W,"AUD 22,800.00"
pearl-clasps-rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold,Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt yellow gold.,"Featuring pave set diamonds, create a unique look for your strand with this clasp. Strand sold separately.

    	
		Paspaley clasp featuring 504 white diamonds (2.82ct) set in 18kt yellow gold.",In stock,SKU    X17L10Y,"AUD 22,800.00"
pearl-clasps-touchstone-black-diamond-clasp-white-gold,Touchstone Black Diamond Clasp - White Gold,"Paspaley clasp featuring 120 black diamonds (2.40ct) set in 18kt white gold, with 14 white diamonds (0.04ct).","An elegant touch, the Touchstone black diamond clasp features sculptural inverted black diamonds.

    	
		Paspaley clasp featuring 120 black diamonds (2.40ct) set in 18kt white gold, with 14 white diamonds (0.04ct).",In stock,SKU    V16L04W,"AUD 8,680.00"
